ds,y
05-01-1973,0.9
12-01-1973,-1.59
19-01-1973,0.42
26-01-1973,0.55
02-02-1973,-0.67
09-02-1973,-0.72
16-02-1973,0.54
23-02-1973,-0.11
02-03-1973,0.18
09-03-1973,-0.2
16-03-1973,0.42
23-03-1973,0.25
30-03-1973,-0.41
06-04-1973,-0.05
13-04-1973,0.23
20-04-1973,0.18
27-04-1973,-0.43
04-05-1973,0.04
11-05-1973,0.89
18-05-1973,1.03
25-05-1973,-0.46
01-06-1973,-1.02
08-06-1973,0.5
15-06-1973,-0.3
22-06-1973,-0.25
29-06-1973,0.58
06-07-1973,-0.49
13-07-1973,0.31
20-07-1973,-0.19
27-07-1973,0.29
03-08-1973,-0.49
10-08-1973,-0.74
17-08-1973,0.27
24-08-1973,-0.36
31-08-1973,-0.16
07-09-1973,0.49
14-09-1973,0.41
21-09-1973,0.46
28-09-1973,-0.53
05-10-1973,-0.31
12-10-1973,0.21
19-10-1973,0.53
26-10-1973,0.24
02-11-1973,0.18
09-11-1973,0.47
16-11-1973,-0.39
23-11-1973,-0.32
30-11-1973,0.39
07-12-1973,0.99
14-12-1973,1.28
21-12-1973,0.29
28-12-1973,-0.35
04-01-1974,1.41
11-01-1974,1.43
18-01-1974,0.72
25-01-1974,2.06
01-02-1974,0.3
08-02-1974,2.84
15-02-1974,4.31
22-02-1974,-4.27
01-03-1974,-1.52
08-03-1974,1.24
15-03-1974,0.18
22-03-1974,-0.95
29-03-1974,1.37
05-04-1974,-0.06
12-04-1974,2.34
19-04-1974,-1.1
26-04-1974,1.67
03-05-1974,0.47
10-05-1974,-0.97
17-05-1974,-1.49
24-05-1974,1.01
31-05-1974,2.32
07-06-1974,-1.99
14-06-1974,-1.03
21-06-1974,0.23
28-06-1974,-0.25
05-07-1974,0.95
12-07-1974,2.58
19-07-1974,1.87
26-07-1974,1.08
02-08-1974,0.17
09-08-1974,0.52
16-08-1974,3.93
23-08-1974,-0.6
30-08-1974,-0.22
06-09-1974,-0.68
13-09-1974,3.78
20-09-1974,0.49
27-09-1974,-0.54
04-10-1974,2.63
11-10-1974,2.03
18-10-1974,1.46
25-10-1974,5
01-11-1974,8
08-11-1974,3.8
15-11-1974,2.2
22-11-1974,-8
29-11-1974,-5.2
06-12-1974,-3.93
13-12-1974,-1.37
20-12-1974,3
27-12-1974,-0.1
03-01-1975,-8.65
10-01-1975,1.85
17-01-1975,-1.6
24-01-1975,-1.7
31-01-1975,0.24
07-02-1975,0.46
14-02-1975,-2.8
21-02-1975,-3.9
28-02-1975,-2.5
07-03-1975,1.43
14-03-1975,-3.83
21-03-1975,1.05
28-03-1975,-1.97
04-04-1975,0.67
11-04-1975,1.2
18-04-1975,-3.08
25-04-1975,-3.22
02-05-1975,-2.06
09-05-1975,-0.71
16-05-1975,0.92
23-05-1975,-2.2
30-05-1975,0.65
06-06-1975,-3.15
13-06-1975,-0.5
20-06-1975,1.35
27-06-1975,-0.01
04-07-1975,4.41
11-07-1975,-2.06
18-07-1975,2.02
25-07-1975,-1.11
01-08-1975,3.46
08-08-1975,0.54
15-08-1975,-3.52
22-08-1975,-0.18
29-08-1975,-0.62
05-09-1975,-0.71
12-09-1975,-0.06
19-09-1975,-1.38
26-09-1975,-0.22
03-10-1975,-0.13
10-10-1975,0.15
17-10-1975,1.01
24-10-1975,-0.92
31-10-1975,0.54
07-11-1975,-1.2
14-11-1975,-0.3
21-11-1975,-0.26
28-11-1975,-0.52
05-12-1975,0.91
12-12-1975,0.56
19-12-1975,-0.62
26-12-1975,0.89
02-01-1976,-0.13
09-01-1976,0.19
16-01-1976,-0.75
23-01-1976,-0.18
30-01-1976,0.03
06-02-1976,0.27
13-02-1976,-0.2
20-02-1976,0.12
27-02-1976,1.4
05-03-1976,0.06
12-03-1976,0.27
19-03-1976,-0.57
26-03-1976,-0.67
02-04-1976,-0.14
09-04-1976,0.33
16-04-1976,-0.46
23-04-1976,0.21
30-04-1976,1.74
07-05-1976,-1.34
14-05-1976,-0.13
21-05-1976,-0.53
28-05-1976,-1.35
04-06-1976,0.45
11-06-1976,0.38
18-06-1976,-0.27
25-06-1976,1.6
02-07-1976,-0.55
09-07-1976,-1.03
16-07-1976,-0.23
23-07-1976,-0.67
30-07-1976,-0.95
06-08-1976,-0.25
13-08-1976,-1.09
20-08-1976,-0.26
27-08-1976,-0.93
03-09-1976,0.06
10-09-1976,-0.66
17-09-1976,0.13
24-09-1976,0.49
01-10-1976,0.5
08-10-1976,-0.8
15-10-1976,-0.82
22-10-1976,0.1
29-10-1976,0.08
05-11-1976,0.28
12-11-1976,0.55
19-11-1976,-0.28
26-11-1976,-0.27
03-12-1976,-0.26
10-12-1976,-0.24
17-12-1976,-0.27
24-12-1976,0.27
31-12-1976,0.08
07-01-1977,1.42
14-01-1977,0.3
21-01-1977,-0.43
28-01-1977,-0.15
04-02-1977,0.08
11-02-1977,-0.2
18-02-1977,-0.08
25-02-1977,0.35
04-03-1977,0.11
11-03-1977,0.3
18-03-1977,-0.06
25-03-1977,0.26
01-04-1977,0.25
08-04-1977,0.66
15-04-1977,0.5
22-04-1977,-0.56
29-04-1977,-1.03
06-05-1977,0.08
13-05-1977,-0.18
20-05-1977,-0.31
27-05-1977,-0.1
03-06-1977,-0.65
10-06-1977,0.16
17-06-1977,-0.47
24-06-1977,0.27
01-07-1977,-0.44
08-07-1977,-0.07
15-07-1977,0.3
22-07-1977,0.14
29-07-1977,-0.27
05-08-1977,0.09
12-08-1977,-0.02
19-08-1977,-0.25
26-08-1977,0.25
02-09-1977,-0.56
09-09-1977,0.51
16-09-1977,-0.91
23-09-1977,-0.07
30-09-1977,1.34
07-10-1977,-0.17
14-10-1977,-0.04
21-10-1977,0.26
28-10-1977,-0.24
04-11-1977,0.21
11-11-1977,0.27
18-11-1977,0.15
25-11-1977,0.07
02-12-1977,0.11
09-12-1977,-0.01
16-12-1977,-0.35
23-12-1977,0.45
30-12-1977,0.38
06-01-1978,0.17
13-01-1978,0.08
20-01-1978,-0.04
27-01-1978,-0.15
03-02-1978,-0.27
10-02-1978,-0.28
17-02-1978,-0.1
24-02-1978,0.07
03-03-1978,-0.81
10-03-1978,-0.14
17-03-1978,0.3
24-03-1978,-0.03
31-03-1978,-0.15
07-04-1978,0.01
14-04-1978,-0.1
21-04-1978,-0.27
28-04-1978,0.08
05-05-1978,-0.32
12-05-1978,0.09
19-05-1978,0.2
26-05-1978,0.14
02-06-1978,-0.27
09-06-1978,-0.35
16-06-1978,-0.12
23-06-1978,0
30-06-1978,-0.23
07-07-1978,-0.37
14-07-1978,-0.19
21-07-1978,0.66
28-07-1978,0.22
04-08-1978,0.34
11-08-1978,-0.46
18-08-1978,0.26
25-08-1978,0.55
01-09-1978,0.34
08-09-1978,0.25
15-09-1978,-0.05
22-09-1978,0.77
29-09-1978,0.39
06-10-1978,0.01
13-10-1978,-0.63
20-10-1978,0.52
27-10-1978,-0.25
03-11-1978,-0.9
10-11-1978,0.2
17-11-1978,-0.24
24-11-1978,-0.16
01-12-1978,0.2
08-12-1978,-0.05
15-12-1978,-0.06
22-12-1978,-0.11
29-12-1978,0.49
05-01-1979,-0.18
12-01-1979,-0.01
19-01-1979,-0.22
26-01-1979,0.28
02-02-1979,0.19
09-02-1979,0.06
16-02-1979,0.04
23-02-1979,-0.19
02-03-1979,0.24
09-03-1979,-0.02
16-03-1979,-0.01
23-03-1979,-0.09
30-03-1979,-0.17
06-04-1979,-0.38
13-04-1979,-0.32
20-04-1979,-0.19
27-04-1979,0.98
04-05-1979,-0.3
11-05-1979,-0.25
18-05-1979,0.03
25-05-1979,0.11
01-06-1979,0.27
08-06-1979,-0.02
15-06-1979,0.16
22-06-1979,0.06
29-06-1979,0.61
06-07-1979,-0.21
13-07-1979,-0.08
20-07-1979,-0.26
27-07-1979,0.35
03-08-1979,-0.09
10-08-1979,0.07
17-08-1979,0.39
24-08-1979,0.23
31-08-1979,0.27
07-09-1979,0.37
14-09-1979,-0.34
21-09-1979,0.36
28-09-1979,2.15
05-10-1979,0.11
12-10-1979,1.17
19-10-1979,0.01
26-10-1979,0.8
02-11-1979,1
09-11-1979,-0.4
16-11-1979,0.65
23-11-1979,0.5
30-11-1979,-0.77
07-12-1979,0.62
14-12-1979,0.37
21-12-1979,0.22
28-12-1979,-0.79
04-01-1980,0.88
11-01-1980,1.63
18-01-1980,1.42
25-01-1980,2.65
01-02-1980,2.41
08-02-1980,0.65
15-02-1980,-4.34
22-02-1980,2.1
29-02-1980,-0.46
07-03-1980,-3.8
14-03-1980,2.22
21-03-1980,-1.93
28-03-1980,1.67
04-04-1980,1.96
11-04-1980,0.8
18-04-1980,0.09
25-04-1980,3.65
02-05-1980,4.83
09-05-1980,1.68
16-05-1980,2.67
23-05-1980,-1.41
30-05-1980,-3.59
06-06-1980,3.51
13-06-1980,-1.25
20-06-1980,-0.94
27-06-1980,-1.59
04-07-1980,-5.02
11-07-1980,1.49
18-07-1980,2.92
25-07-1980,0.94
01-08-1980,2.53
08-08-1980,-0.91
15-08-1980,-2.33
22-08-1980,1.27
29-08-1980,-0.14
05-09-1980,5.71
12-09-1980,-0.43
19-09-1980,0.4
26-09-1980,3.36
03-10-1980,2.2
10-10-1980,0.05
17-10-1980,-1.8
24-10-1980,1
31-10-1980,0.08
07-11-1980,-5.13
14-11-1980,0.9
21-11-1980,-4.07
28-11-1980,-5.83
05-12-1980,-2.19
12-12-1980,4.74
19-12-1980,0.05
26-12-1980,-0.52
02-01-1981,1.37
09-01-1981,-5.3
16-01-1981,3.07
23-01-1981,-2.93
30-01-1981,1.46
06-02-1981,-2.4
13-02-1981,-1.43
20-02-1981,-1.17
27-02-1981,-0.92
06-03-1981,-1.32
13-03-1981,1.65
20-03-1981,-0.46
27-03-1981,-2.24
03-04-1981,-1.15
10-04-1981,-2.35
17-04-1981,0.79
24-04-1981,-1.12
01-05-1981,-0.5
08-05-1981,-0.69
15-05-1981,0.71
22-05-1981,2.34
29-05-1981,-0.89
05-06-1981,-1.44
12-06-1981,0.89
19-06-1981,-0.65
26-06-1981,-0.23
03-07-1981,1.4
10-07-1981,-0.97
17-07-1981,0.87
24-07-1981,-0.27
31-07-1981,-0.64
07-08-1981,-0.64
14-08-1981,-1.56
21-08-1981,-1.3
28-08-1981,-1.4
04-09-1981,0.59
11-09-1981,-0.67
18-09-1981,0.9
25-09-1981,0.6
02-10-1981,-0.83
09-10-1981,-0.07
16-10-1981,-0.38
23-10-1981,0.8
30-10-1981,-0.24
06-11-1981,0.15
13-11-1981,-0.28
20-11-1981,1.27
27-11-1981,-0.3
04-12-1981,0.1
11-12-1981,0.55
18-12-1981,0.3
25-12-1981,-0.85
01-01-1982,0.25
08-01-1982,0.3
15-01-1982,0.24
22-01-1982,-0.01
29-01-1982,-0.02
05-02-1982,0.01
12-02-1982,0.01
19-02-1982,-0.95
26-02-1982,-0.72
05-03-1982,-0.77
12-03-1982,0.31
19-03-1982,-0.59
26-03-1982,0.02
02-04-1982,-0.44
09-04-1982,-0.5
16-04-1982,-1.06
23-04-1982,0.2
30-04-1982,-0.23
07-05-1982,-0.63
14-05-1982,0.03
21-05-1982,-0.45
28-05-1982,-0.66
04-06-1982,-0.12
11-06-1982,-0.25
18-06-1982,0.1
25-06-1982,1.37
02-07-1982,0.08
09-07-1982,0.52
16-07-1982,-1.38
23-07-1982,0.03
30-07-1982,-0.12
06-08-1982,-0.21
13-08-1982,-0.08
20-08-1982,-0.42
27-08-1982,-0.46
03-09-1982,0.14
24-09-1982,0.14
01-10-1982,-0.23
08-10-1982,-0.12
15-10-1982,0.37
22-10-1982,0.5
29-10-1982,0.13
05-11-1982,-0.08
12-11-1982,0.12
19-11-1982,-0.17
26-11-1982,0.03
03-12-1982,-0.92
10-12-1982,0.39
17-12-1982,-0.27
24-12-1982,-0.08
31-12-1982,0.22
07-01-1983,-0.11
14-01-1983,0.2
21-01-1983,-0.07
28-01-1983,0.09
04-02-1983,0.53
11-02-1983,-0.15
18-02-1983,-0.45
25-02-1983,-0.01
04-03-1983,0.24
11-03-1983,-0.17
18-03-1983,0.29
25-03-1983,0.33
01-04-1983,-0.04
08-04-1983,-0.06
15-04-1983,0.66
22-04-1983,0.12
29-04-1983,1.04
06-05-1983,0.42
13-05-1983,1.15
20-05-1983,2.09
27-05-1983,-0.81
03-06-1983,-0.05
10-06-1983,-1.68
17-06-1983,1.2
24-06-1983,0.25
01-07-1983,-0.43
08-07-1983,-1.01
15-07-1983,1.19
22-07-1983,0.16
29-07-1983,0.29
05-08-1983,-1.2
12-08-1983,-0.18
19-08-1983,-0.2
26-08-1983,0.48
02-09-1983,-0.32
09-09-1983,-0.75
16-09-1983,-0.19
23-09-1983,1.18
30-09-1983,1.1
07-10-1983,-0.75
14-10-1983,-0.57
21-10-1983,-1
28-10-1983,-0.1
04-11-1983,-0.28
11-11-1983,0.13
18-11-1983,0.33
25-11-1983,-0.61
02-12-1983,-0.02
09-12-1983,-0.98
16-12-1983,-0.61
23-12-1983,-0.11
30-12-1983,0.83
06-01-1984,0.03
13-01-1984,0.25
20-01-1984,-0.62
27-01-1984,0.17
03-02-1984,-0.53
10-02-1984,-0.46
17-02-1984,0.08
24-02-1984,0.31
02-03-1984,0.37
09-03-1984,-0.32
16-03-1984,-0.16
23-03-1984,-0.02
30-03-1984,-0.57
06-04-1984,-0.08
13-04-1984,-0.3
20-04-1984,-0.03
27-04-1984,-0.01
04-05-1984,-0.31
11-05-1984,0.28
18-05-1984,0.01
25-05-1984,-0.02
01-06-1984,0
08-06-1984,-0.21
15-06-1984,-0.2
22-06-1984,-0.55
29-06-1984,0.03
06-07-1984,-0.18
13-07-1984,-0.11
20-07-1984,-0.08
27-07-1984,-0.26
03-08-1984,-0.5
10-08-1984,0.4
17-08-1984,-0.08
24-08-1984,0.06
31-08-1984,0.18
07-09-1984,-0.18
14-09-1984,-0.03
21-09-1984,-0.22
28-09-1984,1.5
05-10-1984,-0.09
12-10-1984,0.13
19-10-1984,-0.28
26-10-1984,0.39
02-11-1984,-0.18
09-11-1984,-0.5
16-11-1984,-0.29
23-11-1984,0.1
30-11-1984,-0.21
07-12-1984,-0.6
14-12-1984,-0.42
21-12-1984,-0.26
28-12-1984,0.94
04-01-1985,0.56
11-01-1985,-0.6
18-01-1985,0.45
25-01-1985,-0.11
01-02-1985,-0.52
08-02-1985,0.23
15-02-1985,-0.28
22-02-1985,0.43
01-03-1985,-0.46
08-03-1985,0.03
15-03-1985,0.09
22-03-1985,-0.1
29-03-1985,-0.06
05-04-1985,0.04
12-04-1985,-0.34
19-04-1985,-0.24
26-04-1985,0
03-05-1985,-0.14
17-05-1985,-0.11
24-05-1985,0.14
31-05-1985,-0.35
07-06-1985,0.2
14-06-1985,-0.28
21-06-1985,-0.36
28-06-1985,0.33
05-07-1985,0.17
12-07-1985,0.5
19-07-1985,1.29
26-07-1985,-0.05
02-08-1985,-0.42
09-08-1985,0.03
16-08-1985,0.33
23-08-1985,0.07
30-08-1985,0.57
06-09-1985,0.24
13-09-1985,-0.11
20-09-1985,-0.39
27-09-1985,0.26
04-10-1985,-0.06
11-10-1985,-0.18
18-10-1985,0.18
25-10-1985,0.68
01-11-1985,-0.34
08-11-1985,-0.2
15-11-1985,0.22
22-11-1985,-0.04
29-11-1985,0.08
06-12-1985,-0.2
13-12-1985,-0.34
20-12-1985,-0.62
27-12-1985,1.16
03-01-1986,0.14
10-01-1986,-0.45
17-01-1986,0.73
24-01-1986,-0.01
31-01-1986,0.02
07-02-1986,-0.27
14-02-1986,0.14
21-02-1986,0.37
28-02-1986,0.6
07-03-1986,0.53
14-03-1986,0.29
21-03-1986,1.15
28-03-1986,0.11
04-04-1986,-0.86
11-04-1986,0.21
18-04-1986,0.26
25-04-1986,0.28
02-05-1986,0.1
09-05-1986,-0.99
16-05-1986,-0.43
23-05-1986,-0.11
30-05-1986,-0.02
06-06-1986,-0.87
13-06-1986,-0.46
20-06-1986,0.22
27-06-1986,-0.06
04-07-1986,-0.94
11-07-1986,0.47
18-07-1986,0.79
25-07-1986,-0.24
01-08-1986,0.38
08-08-1986,-1.21
15-08-1986,-0.13
22-08-1986,-0.74
29-08-1986,0.38
05-09-1986,0.47
12-09-1986,-0.55
19-09-1986,0.12
26-09-1986,0.62
03-10-1986,0.83
10-10-1986,0.1
17-10-1986,-0.11
24-10-1986,0.02
31-10-1986,0.21
07-11-1986,-0.6
14-11-1986,0.1
21-11-1986,-0.02
28-11-1986,0.12
05-12-1986,-0.42
12-12-1986,-0.45
19-12-1986,0.16
26-12-1986,-0.08
02-01-1987,1.22
09-01-1987,0.13
16-01-1987,1.24
23-01-1987,-0.26
30-01-1987,-0.31
06-02-1987,0.43
13-02-1987,-0.35
20-02-1987,0.73
27-02-1987,0.15
06-03-1987,-0.25
13-03-1987,-0.39
20-03-1987,-1
27-03-1987,0.15
03-04-1987,-0.13
10-04-1987,0.17
17-04-1987,0
24-04-1987,-0.18
01-05-1987,0.2
08-05-1987,0.38
15-05-1987,-0.31
22-05-1987,-0.31
29-05-1987,-0.16
05-06-1987,0.03
12-06-1987,0.02
19-06-1987,0.28
26-06-1987,-0.11
03-07-1987,0.03
10-07-1987,-0.65
17-07-1987,-0.44
24-07-1987,-0.14
31-07-1987,0.22
07-08-1987,0.13
14-08-1987,-0.23
21-08-1987,-0.54
28-08-1987,0.47
04-09-1987,0.37
11-09-1987,0.37
18-09-1987,-0.22
25-09-1987,0.4
02-10-1987,0.25
09-10-1987,0.35
16-10-1987,0
23-10-1987,0.58
30-10-1987,-0.68
06-11-1987,0.2
13-11-1987,0
20-11-1987,0.15
27-11-1987,0.15
04-12-1987,0.15
11-12-1987,0.75
18-12-1987,0.73
25-12-1987,0.21
01-01-1988,0.2
08-01-1988,-0.04
15-01-1988,0.85
22-01-1988,-0.76
29-01-1988,-0.85
05-02-1988,-0.3
12-02-1988,0.21
19-02-1988,-1.06
26-02-1988,0.79
04-03-1988,0.01
11-03-1988,0.36
18-03-1988,0.1
25-03-1988,-0.02
01-04-1988,-0.18
08-04-1988,-0.1
15-04-1988,0.07
22-04-1988,-0.88
29-04-1988,0.68
06-05-1988,0.84
13-05-1988,0.18
20-05-1988,-0.12
27-05-1988,0.63
03-06-1988,0
10-06-1988,0.34
17-06-1988,0.52
24-06-1988,2.41
01-07-1988,0.66
08-07-1988,1.3
15-07-1988,-1.07
22-07-1988,-2.62
29-07-1988,0.4
05-08-1988,-1.17
12-08-1988,-0.54
19-08-1988,-0.04
26-08-1988,0.35
02-09-1988,-0.58
09-09-1988,0.1
16-09-1988,-0.07
23-09-1988,0.4
30-09-1988,-1.34
07-10-1988,0.53
14-10-1988,0.35
